Parameter1,Parameter2,r,p
concentration,temp,0.09963512063265793,0.6685558020179712
concentration,sal,-0.025067206268197976,1
concentration,turb,-0.057728514170238214,1
concentration,pH,0.12992855600060943,0.2905198857927803
concentration,chl,-0.00991419798523412,1
temp,sal,-0.24920080038959747,1.429332683236849e-4
temp,turb,-0.026214683784234118,1
temp,pH,0.12424085790737081,0.33825038256223267
temp,chl,0.3215934276707085,5.194281913122727e-7
sal,turb,-0.2275114744055764,0.0010511588432758267
sal,pH,-0.49810637311320743,1.538570250269055e-18
sal,chl,0.09649533726938944,0.7499306834600608
turb,pH,0.033511863324078274,1
turb,chl,0.018352059397215122,1
pH,chl,-0.10683825172298166,0.6685558020179712
